id_reference;fournisseur;rang_appro;indice_client;usine;priorite;type_cycle;date_emission_commande;quantite_commande;cycle_negocie;pourcentage_avancement_outillage;date_prev_livraison_outillage;date_reelle_livraison_outillage;pourcentage_avancement_prog;date_prev_livraison_prog;date_reelle_livraison_prog;pourcentage_avancement_indus;date_prev_livraison_indus;date_reelle_livraison_indus;type_lot;date_prev_fin_usinage;date_reelle_fin_usinage;lieu_TS;date_prev_fin_TS;date_reelle_fin_TS;date_prev_reception_QI_fournisseur;date_reelle_reception_QI_fournisseur;lieu_equipement;date_prev_fin_equipement;date_reelle_fin_equipement;date_expedition;quantite_expediee;date_livraison_contractuelle;date_livraison_previsionnelle_S;date_reception_effective;quantite_receptionnee;ecart_commande;date_livraison_contractuelle_initiale;date_liberation;etat_reference;date_creation_nomenclature_appro;date_reception_matiere_fournisseur;date_liberation_previsionelle;quantite_liberee;;;;;
37216;fournisseur_1;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
35110;;1;-;usine_1;-;;;3;;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;18/10/2016;10/10/2016;;;;;;Notifiée;;;;;;;;;
35111;;1;-;usine_1;-;;;3;;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;18/10/2016;10/10/2016;;;;;;Notifiée;;;;;;;;;
33370;fournisseur_3;1;A00;usine_1;-;Speedshop;22/07/2016;6;15;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;30/07/2016;6;08/08/2016;08/08/2016;01/08/2016;6;0;08/08/2016;06/09/2016;Stock disponible;;;;6;;;;;
33371;fournisseur_3;1;B00;usine_1;-;Speedshop;05/08/2016;3;20;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;31/08/2016;3;31/08/2016;31/08/2016;03/09/2016;3;0;31/08/2016;14/09/2016;Stock disponible;;;;3;;;;;
33372;fournisseur_3;1;B00;usine_1;-;Speedshop;05/08/2016;3;20;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;31/08/2016;3;31/08/2016;31/08/2016;03/09/2016;3;0;31/08/2016;14/09/2016;Stock disponible;;;;3;;;;;
42285;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
42286;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
39637;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
36150;fournisseur_4;1;-;;-;Standard;;10;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;25/08/2016;25/08/2016;;;;;;Annulée;;;;;;;;;
42045;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
41735;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
41736;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
41858;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
41737;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
38027;fournisseur_4;1;-;;;Standard;25/10/2016;10;10;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;07/11/2016;07/11/2016;;;;07/11/2016;;Notifiée;;;;;;;;;
38614;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
38028;fournisseur_4;1;-;;;Standard;25/10/2016;10;10;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;07/11/2016;07/11/2016;;;;07/11/2016;;Notifiée;;;;;;;;;
39638;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
42264;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
