id_reference;fournisseur;indice_client;autonomie_matiere;autonomie_quincaillerie;quantite_FAI;type_cycle;cycle_fil_rouge_1ere_commande;cycle_fil_rouge_recommande;NRC_fil_rouge_total;RC_fil_rouge;cycle_standard_1ere_commande;cycle_standard_recommande;NRC_standard_total;RC_standard;devise;date_affectation
37216;fournisseur_1;D00;TRUE;TRUE;5;Speedshop;30;0;0;0,036813138;0,001407625;0;0;0,026295132;devise_1;30/01/2017
35110;fournisseur_2;J00;TRUE;FALSE;3;Standard;0;0;0;0;0,001407625;0;0,012903226;0,012108899;devise_1;26/08/2016
35111;fournisseur_2;J00;TRUE;FALSE;3;Standard;0;0;0;0;0,001407625;0;0,012903226;0,012108899;devise_1;26/08/2016
33370;fournisseur_3;A00;TRUE;TRUE;6;Speedshop;15;15;0,017102639;0,003321994;0,001173021;0,001173021;0,014252199;0,002768328;devise_1;18/07/2016
33371;fournisseur_3;B00;TRUE;TRUE;3;Speedshop;20;20;0,035824047;0,018916833;0,001173021;0,001173021;0,029853372;0,015763988;devise_1;02/08/2016
33372;fournisseur_3;B00;TRUE;TRUE;3;Speedshop;20;20;0,035824047;0,018916833;0,001173021;0,001173021;0,029853372;0,015763988;devise_1;02/08/2016
42285;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;2,86217E-05;0,000234604;0,000234604;0;2,86217E-05;devise_1;03/04/2017
42286;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;5,37243E-05;0,000234604;0,000234604;0;5,37243E-05;devise_1;03/04/2017
39637;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;4,59824E-05;0,000234604;0,000234604;0;4,59824E-05;devise_1;19/12/2016
36150;fournisseur_4;B00;TRUE;TRUE;10;Standard;;;0;0;0,000234604;0,000234604;0;8,91496E-05;devise_1;10/08/2016
42045;fournisseur_4;B00;TRUE;TRUE;20;Standard;10;10;0;0,000106979;0,000234604;0,000234604;0;0,000106979;devise_1;22/03/2017
41735;fournisseur_4;-;TRUE;TRUE;20;Standard;10;10;0;0,000249619;0,000234604;0,000234604;0;0,000249619;devise_1;14/03/2017
41736;fournisseur_4;-;TRUE;TRUE;20;Standard;10;10;0;0,000249619;0,000234604;0,000234604;0;0,000249619;devise_1;14/03/2017
41858;fournisseur_4;B00;TRUE;TRUE;20;Standard;10;10;0;8,91496E-05;0,000234604;0,000234604;0;8,91496E-05;devise_1;14/03/2017
41737;fournisseur_4;-;TRUE;TRUE;20;Standard;10;10;0;0,000249619;0,000234604;0,000234604;0;0,000249619;devise_1;14/03/2017
38027;fournisseur_4;K00;TRUE;TRUE;10;Standard;10;10;0;0,000748856;0,000234604;0,000234604;0;0,000748856;devise_1;14/10/2016
38614;fournisseur_4;K00;TRUE;TRUE;20;Standard;10;10;0;0,000178299;0,000234604;0,000234604;0;0,000178299;devise_1;17/11/2016
38028;fournisseur_4;K00;TRUE;TRUE;10;Standard;10;10;0;0,001176774;0,000234604;0,000234604;0;0,001176774;devise_1;14/10/2016
39638;fournisseur_4;F00;TRUE;TRUE;20;Standard;10;10;0;0,000320938;0,000234604;0,000234604;0;0,000320938;devise_1;20/04/2017
42264;fournisseur_4;K00;TRUE;TRUE;20;Standard;10;10;0;0,000196129;0,000234604;0,000234604;0;0,000196129;devise_1;03/04/2017
42265;fournisseur_4;K00;TRUE;TRUE;20;Standard;10;10;0;0,000392258;0,000234604;0,000234604;0;0,000392258;devise_1;03/04/2017
39639;fournisseur_4;K00;TRUE;TRUE;20;Standard;10;10;0;0,000624047;0,000234604;0,000234604;0;0,000624047;devise_1;20/04/2017
42266;fournisseur_4;K00;TRUE;TRUE;20;Standard;10;10;0;3,56598E-05;0,000234604;0,000234604;0;3,56598E-05;devise_1;03/04/2017
36151;fournisseur_4;A00;TRUE;TRUE;10;Standard;;;0;0;0,000234604;0,000234604;0;0,000142639;devise_1;10/08/2016
40734;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;3,56598E-05;0,000234604;0,000234604;0;3,56598E-05;devise_1;02/02/2017
36152;fournisseur_4;B00;TRUE;TRUE;10;Standard;;;0;0;0,000234604;0,000234604;0;0,003281173;devise_1;10/08/2016
36153;fournisseur_4;A00;TRUE;TRUE;10;Standard;;;0;0;0,000234604;0,000234604;0;0,000425337;devise_1;10/08/2016
39640;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;1,52493E-05;0,000234604;0,000234604;0;1,52493E-05;devise_1;19/12/2016
40812;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;4,99707E-05;0,000234604;0,000234604;0;4,99707E-05;devise_1;02/02/2017
40813;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;4,99707E-05;0,000234604;0,000234604;0;4,99707E-05;devise_1;02/02/2017
40814;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;4,99707E-05;0,000234604;0,000234604;0;4,99707E-05;devise_1;02/02/2017
40815;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;4,99707E-05;0,000234604;0,000234604;0;4,99707E-05;devise_1;02/02/2017
42160;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;7,85924E-05;0,000234604;0,000234604;0;7,85924E-05;devise_1;24/03/2017
42161;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;7,85924E-05;0,000234604;0,000234604;0;7,85924E-05;devise_1;24/03/2017
42562;fournisseur_4;A00;TRUE;TRUE;20;Standard;10;10;0;7,85924E-05;0,000234604;0,000234604;0;7,85924E-05;devise_1;20/04/2017
36154;fournisseur_4;A00;TRUE;TRUE;10;Standard;;;0;0;0,000234604;0,000234604;0;0,000106979;devise_1;10/08/2016
