id_reference	type_reference	designation	programme	code_filiere	coeff_avion	longueur_piece_brut_mm	largeur_piece_brut_mm	epaisseur_brut_mm	debit_mm2	magasin	date_reception_OMP	date_besoin_client	date_transmission_proc	livrable	constituant	famille_code_filiere	norm_mat_inge	norm_mat_fab	indice_manufacturing	codes_protections	avion_impacte_pp	complexite_piece_pp	priorite_pp	indice_client_pp	classe_piece_ref_pp	procedes_speciaux_ind	cms_mat_pp	fournisseur_cmde	rang_appro	indice_client	usine	priorite	type_cycle	date_emission_commande	quantite_commande	cycle_negocie	date_prev_livraison_outillage	date_reelle_livraison_outillage	date_prev_livraison_prog	date_reelle_livraison_prog	date_prev_livraison_indus	date_reelle_livraison_indus	type_lot	date_prev_fin_usinage	date_reelle_fin_usinage	lieu_TS	date_prev_fin_TS	date_reelle_fin_TS	date_prev_reception_QI_fournisseur	date_reelle_reception_QI_fournisseur	lieu_equipement	date_prev_fin_equipement	date_reelle_fin_equipement	date_expedition	quantite_expediee	date_livraison_contractuelle	date_livraison_previsionnelle_S	date_reception_effective	quantite_receptionnee	ecart_commande	date_livraison_contractuelle_initiale	date_liberation	etat_reference	date_creation_nomenclature_appro	date_reception_matiere_fournisseur	date_liberation_previsionelle	quantite_liberee	fournisseur_achat	indice_client	autonomie_matiere	autonomie_quincaillerie	quantite_FAI	type_cycle_achat	cycle_fil_rouge_1ere_commande	cycle_fil_rouge_recommande	NRC_fil_rouge_total	RC_fil_rouge	cycle_standard_1ere_commande	cycle_standard_recommande	NRC_standard_total	RC_standard	devise	date_affectation
15038	PE	FITTING REAR BULKHEAD, STGR 19	programme_2	code_filiere_14	1	NA	NA	88.90000153	NA	magasin_13	15/01/2014	28/01/2014	22/01/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	C.4	NA	P2_MSN1	Medium	P0	C	2	-	B0BAMS516003K6-02	fournisseur_9	1	C00	usine_2	NA	Speedshop	04/02/2014	5	20	NA	NA	17/02/2014	17/02/2014	17/02/2014	17/02/2014	Lot3_Released	20/02/2014	24/02/2014	HCL	03/03/2014	03/03/2014	NA	NA	NA	NA	NA	03/03/2014	5	04/03/2014	05/03/2014	05/03/2014	5	0	04/03/2014	22/04/2014	Stock disponible	NA	13/02/2014	22/04/2014	NA	fournisseur_9	C00	FALSE	FALSE	5	Speedshop	20	20	0.030601067	0.029895457	40	40	0.020400661	0.019930405000000002	devise_2	31/01/2014
15038	PE	FITTING REAR BULKHEAD, STGR 19	programme_2	code_filiere_14	1	NA	NA	88.90000153	NA	magasin_13	15/01/2014	28/01/2014	22/01/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	C.4	NA	P2_MSN1	Medium	P0	C	2	-	B0BAMS516003K6-02	fournisseur_9	1	C00	usine_2	NA	Speedshop	20/03/2014	5	20	NA	NA	07/03/2014	14/03/2014	07/03/2014	14/03/2014	Lot3_Released	24/03/2014	27/03/2014	HCL	02/04/2014	03/04/2014	NA	NA	NA	NA	NA	09/04/2014	5	10/04/2014	04/04/2014	14/04/2014	5	0	01/04/2014	22/04/2014	Stock disponible	NA	11/03/2014	22/04/2014	NA	fournisseur_9	C00	FALSE	FALSE	5	Speedshop	20	20	0.030601067	0.029895457	40	40	0.020400661	0.019930405000000002	devise_2	31/01/2014
15039	PE	FITTING REAR BULKHEAD, STGR 19	programme_2	code_filiere_14	1	NA	NA	88.90000153	NA	magasin_13	15/01/2014	28/01/2014	22/01/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	C.4	NA	P2_MSN1	Medium	P0	C	2	-	B0BAMS516003K6-02	fournisseur_9	1	C00	usine_2	NA	Speedshop	04/02/2014	5	20	NA	NA	17/02/2014	17/02/2014	17/02/2014	17/02/2014	Lot3_Released	20/02/2014	24/02/2014	HCL	03/03/2014	03/03/2014	NA	NA	NA	NA	NA	03/03/2014	5	04/03/2014	06/03/2014	06/03/2014	5	0	04/03/2014	28/04/2014	Stock disponible	NA	13/02/2014	28/04/2014	NA	fournisseur_9	C00	FALSE	FALSE	5	Speedshop	20	20	0.030601067	0.029895457	40	40	0.020400661	0.019930405000000002	devise_2	31/01/2014
15039	PE	FITTING REAR BULKHEAD, STGR 19	programme_2	code_filiere_14	1	NA	NA	88.90000153	NA	magasin_13	15/01/2014	28/01/2014	22/01/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	C.4	NA	P2_MSN1	Medium	P0	C	2	-	B0BAMS516003K6-02	fournisseur_9	1	C00	usine_2	NA	Speedshop	20/03/2014	5	20	NA	NA	07/03/2014	14/03/2014	07/03/2014	14/03/2014	Lot3_Released	24/03/2014	27/03/2014	HCL	02/04/2014	03/04/2014	NA	NA	NA	NA	NA	09/04/2014	5	10/04/2014	04/04/2014	23/04/2014	5	0	01/04/2014	28/04/2014	Stock disponible	NA	11/03/2014	28/04/2014	NA	fournisseur_9	C00	FALSE	FALSE	5	Speedshop	20	20	0.030601067	0.029895457	40	40	0.020400661	0.019930405000000002	devise_2	31/01/2014
15042	PE	FRAME FS813 36, AFT LOWER PANEL	programme_2	code_filiere_6	1	NA	NA	38.09999847	NA	magasin_13	11/04/2014	24/04/2014	16/04/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	A9	NA	P2_MSN1	NA	P0	C	2	144-005	B0BAMS516003K4-09	fournisseur_12	1	C00	usine_2	NA	Speedshop	09/05/2014	2	25	NA	NA	NA	NA	NA	NA	Lot3_Released	13/05/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	13/06/2014	1	28/05/2014	14/06/2014	16/06/2014	1	1	28/05/2014	17/06/2014	Stock disponible	NA	NA	17/06/2014	NA	fournisseur_12	C00	FALSE	FALSE	2	Speedshop	25	30	0.128320287	0.071348272	50	60	0.128320287	0.029063035	devise_2	18/04/2014
15042	PE	FRAME FS813 36, AFT LOWER PANEL	programme_2	code_filiere_6	1	NA	NA	38.09999847	NA	magasin_13	11/04/2014	24/04/2014	16/04/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	A9	NA	P2_MSN1	NA	P0	C	2	144-005	B0BAMS516003K4-09	fournisseur_12	2	C00	usine_2	NA	Speedshop	09/05/2014	1	25	NA	NA	NA	NA	NA	NA	Lot3_Released	13/05/2014	13/05/2014	NMF EUROPA	NA	NA	NA	NA	PE	NA	NA	22/09/2014	1	15/09/2014	26/09/2014	24/09/2014	1	0	28/05/2014	25/09/2014	Stock disponible	NA	07/07/2014	25/09/2014	NA	fournisseur_20	C00	FALSE	FALSE	2	Speedshop	30	30	0.126165261	0.018536847	60	60	0.126165261	0.018536847	devise_2	18/04/2014
15042	PE	FRAME FS813 36, AFT LOWER PANEL	programme_2	code_filiere_6	1	NA	NA	38.09999847	NA	magasin_13	11/04/2014	24/04/2014	16/04/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	A9	NA	P2_MSN1	NA	P0	C	2	144-005	B0BAMS516003K4-09	fournisseur_12	1	C00	usine_2	NA	Speedshop	09/05/2014	2	25	NA	NA	NA	NA	NA	NA	Lot3_Released	13/05/2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	13/06/2014	1	28/05/2014	14/06/2014	16/06/2014	1	1	28/05/2014	17/06/2014	Stock disponible	NA	NA	17/06/2014	NA	fournisseur_20	C00	FALSE	FALSE	2	Speedshop	30	30	0.126165261	0.018536847	60	60	0.126165261	0.018536847	devise_2	18/04/2014
15042	PE	FRAME FS813 36, AFT LOWER PANEL	programme_2	code_filiere_6	1	NA	NA	38.09999847	NA	magasin_13	11/04/2014	24/04/2014	16/04/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	A9	NA	P2_MSN1	NA	P0	C	2	144-005	B0BAMS516003K4-09	fournisseur_20	1	C00	usine_2	NA	Speedshop	09/05/2014	2	NA	06/05/2014	06/05/2014	07/05/2014	06/05/2014	08/05/2014	06/05/2014	Lot3_Released	09/05/2014	06/05/2014	AMF	23/05/2014	23/05/2014	NA	NA	on site	NA	NA	23/05/2014	2	30/05/2014	28/05/2014	30/05/2014	2	0	30/05/2014	05/06/2014	Stock disponible	NA	02/05/2014	NA	NA	fournisseur_20	C00	FALSE	FALSE	2	Speedshop	30	30	0.126165261	0.018536847	60	60	0.126165261	0.018536847	devise_2	18/04/2014
15042	PE	FRAME FS813 36, AFT LOWER PANEL	programme_2	code_filiere_6	1	NA	NA	38.09999847	NA	magasin_13	11/04/2014	24/04/2014	16/04/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	A9	NA	P2_MSN1	NA	P0	C	2	144-005	B0BAMS516003K4-09	fournisseur_20	1	C00	usine_2	NA	Speedshop	09/05/2014	2	NA	06/05/2014	06/05/2014	07/05/2014	06/05/2014	08/05/2014	06/05/2014	Lot3_Released	09/05/2014	06/05/2014	AMF	23/05/2014	23/05/2014	NA	NA	on site	NA	NA	23/05/2014	2	30/05/2014	28/05/2014	30/05/2014	2	0	30/05/2014	05/06/2014	Stock disponible	NA	02/05/2014	NA	NA	fournisseur_12	C00	FALSE	FALSE	2	Speedshop	25	30	0.128320287	0.071348272	50	60	0.128320287	0.029063035	devise_2	18/04/2014
15042	PE	FRAME FS813 36, AFT LOWER PANEL	programme_2	code_filiere_6	1	NA	NA	38.09999847	NA	magasin_13	11/04/2014	24/04/2014	16/04/2014	FALSE	FALSE	famille_code_filiere_4	BAMS516-003	BAMS516-003	A9	NA	P2_MSN1	NA	P0	C	2	144-005	B0BAMS516003K4-09	fournisseur_12	2	C00	usine_2	NA	Speedshop	09/05/2014	1	25	NA	NA	NA	NA	NA	NA	Lot3_Released	13/05/2014	13/05/2014	NMF EUROPA	NA	NA	NA	NA	PE	NA	NA	22/09/2014	1	15/09/2014	26/09/2014	24/09/2014	1	0	28/05/2014	25/09/2014	Stock disponible	NA	07/07/2014	25/09/2014	NA	fournisseur_12	C00	FALSE	FALSE	2	Speedshop	25	30	0.128320287	0.071348272	50	60	0.128320287	0.029063035	devise_2	18/04/2014
